YrM,N
2004-04-01T05:00:00Z,11813
2004-05-01T04:00:00Z,18677
2004-06-01T04:00:00Z,23875
2004-07-01T04:00:00Z,20923
2004-08-01T04:00:00Z,19523
2004-09-01T04:00:00Z,18866
2004-10-01T04:00:00Z,14001
2004-11-01T05:00:00Z,8887
2004-12-01T05:00:00Z,7175
2005-01-01T05:00:00Z,6414
2005-02-01T05:00:00Z,6507
2005-03-01T05:00:00Z,7980
2005-04-01T05:00:00Z,12144
2005-05-01T04:00:00Z,14114
2005-06-01T04:00:00Z,16850
2005-07-01T04:00:00Z,16599
2005-08-01T04:00:00Z,15579
2005-09-01T04:00:00Z,18515
2005-10-01T04:00:00Z,13037
2005-11-01T05:00:00Z,9731
2005-12-01T05:00:00Z,7307
2006-07-01T04:00:00Z,16146
2006-08-01T04:00:00Z,14599
2006-09-01T04:00:00Z,15777
2006-01-01T05:00:00Z,8232
2006-02-01T05:00:00Z,6847
2006-03-01T05:00:00Z,9307
2006-04-01T05:00:00Z,13754
2006-05-01T04:00:00Z,16045
2006-06-01T04:00:00Z,16537
2006-10-01T04:00:00Z,10943
2006-11-01T05:00:00Z,8752
2006-12-01T05:00:00Z,7209
2007-01-01T05:00:00Z,6431
2007-02-01T05:00:00Z,5049
2007-03-01T05:00:00Z,7685
2007-04-01T04:00:00Z,9834
2007-05-01T04:00:00Z,14562
2007-06-01T04:00:00Z,16580
2007-07-01T04:00:00Z,18953
2007-08-01T04:00:00Z,15166
2007-09-01T04:00:00Z,16987
2007-10-01T04:00:00Z,13766
2007-11-01T04:00:00Z,8426
2007-12-01T05:00:00Z,6483
2008-01-01T05:00:00Z,6762
2008-02-01T05:00:00Z,6069
2008-03-01T05:00:00Z,8131
2008-04-01T04:00:00Z,11981
2008-05-01T04:00:00Z,14743
2008-06-01T04:00:00Z,16228
2008-07-01T04:00:00Z,13401
2008-08-01T04:00:00Z,15563
2008-09-01T04:00:00Z,13974
2008-10-01T04:00:00Z,11386
2008-11-01T04:00:00Z,8106
2008-12-01T05:00:00Z,5793
2009-01-01T05:00:00Z,5234
2009-02-01T05:00:00Z,5741
2009-03-01T05:00:00Z,7878
2009-04-01T04:00:00Z,10674
2009-05-01T04:00:00Z,14095
2009-06-01T04:00:00Z,13458
2009-07-01T04:00:00Z,12872
2009-08-01T04:00:00Z,11061
2009-09-01T04:00:00Z,11723
2009-10-01T04:00:00Z,7786
2009-11-01T04:00:00Z,6488
2009-12-01T05:00:00Z,4276
2010-01-01T05:00:00Z,14297
2010-02-01T05:00:00Z,13388
2010-03-01T05:00:00Z,15127
2010-04-01T04:00:00Z,18670
2010-05-01T04:00:00Z,22120
2010-06-01T04:00:00Z,17496
